Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
49,2025,38017,Storskjæret,,,,Ja,Nei,1848,STEIGEN,18,Nordland,67.902,15.191683,0.5,,,9,Vestfjorden og Vesterålen
49,2025,19016,Storskogøya,0.28,0.29,0.01,Nei,Ja,5056,HITRA,50,Trøndelag,63.506065,9.19075,0.5,Nei,9.22,6,Nordmøre og Sør-Trøndelag
49,2025,13566,Storskrebukti,0.21,0.3,0.29,Nei,Ja,4631,ALVER,46,Vestland,60.653732,5.4192,0.5,Nei,11.89,4,Nordhordaland til Stadt
49,2025,13124,Storstrompan,0.09,0.22,0.02,Nei,Ja,1836,RØDØY,18,Nordland,66.54552,13.41915,0.5,Nei,8.12,8,Helgeland til Bodø
49,2025,13316,Storvik,,,,Ja,Nei,5614,LOPPA,56,Finnmark,70.14955,22.41675,0.5,,,12,Vest-Finnmark
49,2025,22335,Storvika,,,,Ja,Nei,1579,HUSTADVIKA,15,Møre og Romsdal,62.8021,6.977733,0.5,,,5,Stadt til Hustadvika
49,2025,13125,Storvika,0.06,0.08,0.02,Nei,Ja,1837,MELØY,18,Nordland,66.80845,13.24255,0.5,Nei,7.27,8,Helgeland til Bodø
49,2025,15461,Storvika,,,,Ja,Nei,5620,NORDKAPP,56,Finnmark,70.8709,25.446817,0.5,,,12,Vest-Finnmark
49,2025,32397,Storvika I Skjerstadfjorden,0,0.02,0,Nei,Ja,1804,BODØ,18,Nordland,67.203964,15.275233,0.5,Nei,6.3,8,Helgeland til Bodø
49,2025,10552,Storvika III,0.08,0.02,0,Nei,Ja,5522,SALANGEN,55,Troms,68.89622,17.487316,0.5,Nei,7.07,10,Andøya til Senja
